Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
22:37.7,0.0455,0.0792,-1.0599,0.1136,-0.0524,-0.0213,-0.0534,0.2785,-2.2847,40.081789,-104.671777,285.3937,23.8692,10311.54883,Automotive,High
22:37.7,0.0488,0.0605,-1.0604,-0.0134,-0.0152,-0.0098,0.0429,-0.0746,0.0016,40.081789,-104.671777,285.3937,23.8692,10311.54883,Automotive,Low
22:37.8,0.036,0.0566,-1.014,-0.0152,-0.0344,-0.0119,0.0384,-0.0683,0.0014,40.081789,-104.671777,285.3937,28.6976,10311.54883,Automotive,Low
22:37.9,0.0468,0.0528,-0.976,-0.0153,-0.0248,-0.0162,0.037,-0.0646,1.7795,40.081789,-104.671777,285.3937,176.0456,10311.54883,Automotive,Low
22:38.0,0.0447,0.0351,-1.0006,-0.0372,-0.0655,-0.0036,0.0384,-0.0635,1.7779,40.081789,-104.671777,285.3937,176.0456,10311.54883,Automotive,Low
22:38.1,0.0466,0.0607,-1.0085,-0.0159,-0.0003,-0.0067,0.037,-0.0636,1.7781,40.081789,-104.671777,285.3937,176.0456,10311.54883,Automotive,Low
22:38.2,0.0459,0.0664,-0.95,-0.0136,-0.0109,-0.0066,0.0379,-0.0636,1.7781,40.081789,-104.671777,285.3937,176.0456,10311.54883,Automotive,High
22:38.3,0.0375,0.0514,-0.9818,-0.0119,0.0157,-0.0077,0.0389,-0.0644,1.7781,40.081789,-104.671777,285.3937,176.0456,10311.54883,Automotive,High
22:38.4,0.0504,0.0438,-0.9861,-0.008,0.0392,-0.012,0.0396,-0.0655,1.7783,40.081789,-104.671777,285.3937,176.0456,10311.54883,Automotive,High
22:38.5,0.0511,0.0567,-0.9589,-0.0156,0.0433,-0.0101,0.0463,-0.0654,1.7782,40.081789,-104.671777,285.3937,176.0456,10311.54883,Automotive,Low
22:38.7,0.0681,0.0721,-0.9572,-0.012,0.0274,-0.0153,0.051,-0.0661,1.7765,40.081789,-104.671777,285.3937,176.0456,10311.54883,Automotive,Low
22:38.7,0.0549,0.0637,-0.973,-0.0031,0.0031,-0.0086,0.0516,-0.0657,1.7763,40.081789,-104.671777,285.3937,177.0697,10311.54883,Automotive,Low
22:38.8,0.0497,0.0536,-0.9708,0.0005,-0.0171,-0.0117,0.0521,-0.0656,1.7762,40.081789,-104.671777,285.3937,177.0697,10311.54883,Automotive,Low
22:38.9,0.0393,0.0676,-0.9792,0.0004,-0.0117,-0.0074,0.0509,-0.066,1.7762,40.081789,-104.671777,285.3937,177.0697,10311.54883,Automotive,Low
22:39.0,0.0459,0.0545,-0.9768,-0.0115,0.0008,-0.0151,0.0507,-0.0662,1.7762,40.081789,-104.671777,285.3937,177.0697,10311.54883,Automotive,Low
22:39.1,0.0548,0.0912,-0.9929,-0.004,-0.0107,-0.0054,0.0518,-0.066,1.7758,40.081789,-104.671777,285.3937,177.0697,10311.54883,Automotive,High
22:39.3,0.0452,0.0736,-0.9703,-0.0091,-0.0151,-0.014,0.0515,-0.066,1.7758,40.081789,-104.671777,285.3937,177.0697,10311.54883,Automotive,High
22:39.4,0.0547,0.0245,-0.9652,-0.0092,-0.013,-0.0118,0.0517,-0.0654,1.7754,40.081789,-104.671777,285.3937,177.0697,10311.54883,Automotive,High
22:39.5,0.034,0.081,-1.004,-0.0122,-0.0279,-0.0086,0.0517,-0.065,1.7749,40.081789,-104.671777,285.3937,177.0697,10311.54883,Automotive,High
22:39.6,0.0347,0.0485,-1.0113,-0.0054,0.0148,-0.0108,0.0503,-0.0656,1.7746,40.081789,-104.671777,285.3937,177.0697,10311.54883,Automotive,Low
22:39.7,0.037,0.0669,-0.9709,-0.021,-0.0089,-0.011,0.0486,-0.0655,1.7742,40.081789,-104.671777,285.3937,177.0697,10311.54883,Automotive,Low
22:39.8,0.0271,0.0503,-0.9739,-0.0073,-0.0002,-0.0097,0.0469,-0.0663,1.7739,40.081789,-104.671777,285.3937,177.0697,10311.54883,Automotive,Low
22:39.9,0.0381,0.0697,-0.9816,-0.0192,0.0092,-0.0132,0.0456,-0.0667,1.7735,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:40.0,0.0392,0.0657,-0.9726,-0.0169,0.0007,-0.0099,0.0449,-0.0679,1.7731,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:40.1,0.0305,0.0617,-0.9595,-0.0221,-0.0047,-0.0121,0.0446,-0.0685,1.773,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:40.2,0.033,0.0715,-0.9183,-0.0106,0.0072,-0.013,0.0436,-0.0703,1.7719,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:40.3,0.0362,0.0586,-0.8679,-0.0219,-0.0153,-0.0142,0.0434,-0.0708,1.7711,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:40.4,0.0372,0.0742,-0.9212,-0.0081,-0.0119,-0.0108,0.0418,-0.0725,1.7709,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:40.5,0.0385,0.0657,-0.9216,-0.0078,-0.0342,-0.0075,0.0407,-0.0731,1.7708,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:40.6,0.0341,0.0625,-0.9158,-0.012,-0.0375,-0.0097,0.0366,-0.074,1.7709,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:40.7,0.0246,0.0568,-0.8974,-0.0099,-0.0342,-0.0075,0.0347,-0.0738,1.7708,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:40.8,0.0354,0.0405,-0.9286,-0.0067,-0.0342,-0.0064,0.0328,-0.0741,1.771,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:40.9,0.0439,0.0755,-0.9301,0.0001,0.001,-0.0075,0.0313,-0.0748,1.7712,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:41.0,0.0311,0.0597,-0.9736,-0.0066,-0.0459,0.0001,0.0325,-0.0734,1.7712,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:41.1,0.0263,0.0538,-0.9596,-0.0091,-0.0257,-0.0054,0.0303,-0.0721,1.7718,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:41.2,0.0276,0.049,-0.9502,-0.0074,0.0009,-0.0044,0.0282,-0.0707,1.7722,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:41.3,0.0358,0.0309,-0.9802,-0.0135,-0.0141,-0.0066,0.0308,-0.0685,1.773,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:41.4,0.0367,0.0563,-0.9857,0.0004,-0.0181,-0.0021,0.0321,-0.0672,1.7735,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:41.5,0.0463,0.0475,-0.9669,0.0103,0.0342,-0.0106,0.0325,-0.0661,1.7738,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:41.6,0.0478,0.0573,-0.965,-0.0042,-0.0012,-0.0054,0.0352,-0.0651,1.7742,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:41.7,0.0424,0.0494,-0.9688,-0.0009,-0.0054,-0.0053,0.0364,-0.064,1.7747,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:41.8,0.0411,0.0541,-0.9559,-0.0007,-0.0128,-0.0074,0.0382,-0.062,1.7751,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:41.9,0.0507,0.0708,-1.0036,0.0034,-0.0032,-0.0063,0.0391,-0.0606,1.7754,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:42.0,0.041,0.0325,-1.0114,0.0083,0.0224,-0.0074,0.04,-0.059,1.7759,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:42.1,0.0316,0.0628,-0.991,0.0078,-0.0148,0.0002,0.042,-0.0575,1.7761,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
22:42.2,0.039,0.0525,-0.9749,-0.0022,0.0169,-0.0108,0.0424,-0.0553,1.777,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,Low
