Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
35:49.3,0.0322,0.0753,-0.8005,0,0,0,0,0,0,,,0,0,0,Unknown,Low
35:49.4,0.0176,0.0629,-0.882,-0.0025,0.0339,-0.0151,0.0404,-0.0937,0.0018,,,0,0,0,Automotive,High
35:49.5,-0.0512,0.0907,-0.9332,-0.0015,0.0308,-0.0098,0.0439,-0.0937,0.0006,,,0,189.9625,0,Automotive,High
35:49.6,0.0394,0.0405,-0.9727,0.0037,-0.0149,-0.0127,0.0364,-0.0937,-0.3232,,,0,296.804,0,Automotive,High
35:49.7,0.0646,0.07,-0.8335,-0.0148,0.0624,-0.0144,0.0383,-0.0937,-0.3241,,,0,296.804,0,Automotive,High
35:49.8,0.0296,0.0805,-0.8257,-0.0281,-0.0229,-0.0164,0.0343,-0.0915,-0.324,,,0,296.804,0,Automotive,High
35:49.9,0.0451,0.0822,-0.9118,0.0162,0.0087,-0.0147,0.0346,-0.0889,-0.3249,,,0,296.804,0,Automotive,High
35:50.0,-0.0175,0.0876,-0.892,0.0188,-0.0274,-0.007,0.0328,-0.0863,-0.3261,,,0,296.804,0,Automotive,High
35:50.1,0.085,0.063,-1.0705,0.0145,-0.0211,-0.0135,0.0336,-0.0839,-0.3268,,,0,296.804,0,Automotive,High
35:50.2,0.0317,0.0702,-1.0181,0.014,0.0185,0.0322,0.0274,-0.0769,-0.3229,,,0,296.804,0,Automotive,High
35:50.3,0.0115,0.0702,-0.9965,0.0021,0.0117,-0.0107,0.0263,-0.0742,-0.322,,,0,296.804,0,Automotive,High
35:50.4,0.0379,0.0647,-1.1868,-0.0116,-0.0577,-0.0106,0.0244,-0.0738,-0.3255,,,0,296.804,0,Automotive,High
35:50.5,-0.0183,0.062,-1.0617,0.0582,0.1073,-0.0154,0.0225,-0.0713,-0.3267,,,0,296.804,0,Automotive,High
35:50.6,0.0424,0.0621,-1.1935,0.0322,0.0259,-0.0305,0.0248,-0.0682,-0.3276,,,0,296.804,0,Automotive,High
35:50.7,0.0022,0.0215,-1.2089,0.0121,-0.0073,-0.0104,0.0252,-0.0662,-0.33,,,0,296.804,0,Automotive,High
35:50.8,0.0101,0.0434,-1.2055,0.0228,-0.0103,-0.007,0.0249,-0.063,-0.3327,,,0,296.804,0,Automotive,High
35:50.9,0.0032,0.0618,-1.1679,-0.0023,-0.0384,-0.0127,0.0245,-0.0614,-0.3335,,,0,296.804,0,Automotive,High
35:51.0,-0.0265,0.0573,-1.1816,0.0032,0.0054,-0.0042,0.0223,-0.0602,-0.3344,,,0,296.804,0,Automotive,High
35:51.1,0.0257,0.0591,-1.0521,-0.0138,0.004,-0.0099,0.0231,-0.057,-0.3357,,,0,296.804,0,Automotive,High
35:51.2,0.0641,0.0504,-1.2074,0.0015,-0.0003,-0.08,0.0205,-0.0569,-0.3368,,,0,296.804,0,Automotive,High
35:51.3,0.0222,0.0356,-1.1945,-0.0068,-0.0162,-0.0203,0.017,-0.0563,-0.3401,,,0,296.804,0,Automotive,High
35:51.4,0.0253,0.0333,-1.1261,-0.0167,-0.0163,-0.0056,0.0135,-0.0566,-0.3437,,,0,296.804,0,Automotive,High
35:51.5,0.0364,0.0566,-1.1531,-0.0208,-0.0227,-0.0088,0.0134,-0.0562,-0.3439,,,0,296.804,0,Automotive,High
35:51.6,0.0264,0.0372,-1.0573,-0.0071,-0.0129,-0.0075,0.014,-0.0565,-0.3443,,,0,296.804,0,Automotive,High
35:51.7,0.0074,0.0526,-1.0829,-0.0367,-0.0305,-0.008,0.0143,-0.0566,-0.3446,,,0,296.804,0,Automotive,High
35:51.8,0.0247,0.0429,-1.0368,0.0046,-0.0106,-0.0073,0.0143,-0.0585,-0.3451,,,0,296.804,0,Automotive,High
35:51.9,0.0078,0.0404,-1.0318,-0.022,-0.0121,-0.0099,0.0132,-0.0574,-0.3456,,,0,296.804,0,Automotive,High
35:52.0,0.0148,0.0758,-1.0038,-0.0151,0.0114,-0.0046,0.0107,-0.0567,-0.3474,,,0,296.804,0,Automotive,High
35:52.1,0.0103,0.0343,-1.0027,0.0077,-0.0052,-0.0062,0.0099,-0.0575,-0.3478,,,0,296.804,0,Automotive,High
35:52.2,0.0125,0.0647,-1.0318,0.0136,0.0162,0.0023,0.0125,-0.0577,-0.3478,,,0,296.804,0,Automotive,High
35:52.3,0.0569,0.0557,-0.8873,-0.0027,-0.0777,-0.0104,0.0179,-0.0595,-0.3466,,,0,296.804,0,Automotive,High
35:52.4,-0.0124,0.0414,-0.9688,-0.0115,-0.0172,0.0031,0.0152,-0.0618,-0.3468,,,0,296.804,0,Automotive,High
35:52.5,0.0885,0.0605,-0.9543,0.0135,0.0289,-0.0074,0.0116,-0.0627,-0.3493,,,0,296.804,0,Automotive,High
35:52.6,0.0389,0.0689,-0.9167,-0.0056,-0.0363,-0.0074,0.0153,-0.0632,-0.3492,,,0,296.804,0,Automotive,High
35:52.7,-0.0059,0.0639,-0.8914,0.0024,-0.0638,-0.0072,0.0156,-0.0643,-0.3492,,,0,296.804,0,Automotive,High
35:52.8,0.0412,0.0614,-0.9161,-0.0011,-0.0469,-0.0073,0.0142,-0.0655,-0.3494,,,0,296.804,0,Automotive,High
35:52.9,0.0313,0.0438,-0.9304,-0.0198,-0.0791,-0.0064,0.0105,-0.0651,-0.3498,,,0,296.804,0,Automotive,High
35:53.0,0.0735,0.0536,-0.956,0.0157,-0.0274,-0.0114,0.0123,-0.0637,-0.3501,,,0,296.804,0,Automotive,High
35:53.1,0.0424,0.044,-0.9651,0.0145,-0.0285,-0.006,0.0122,-0.0631,-0.3505,,,0,296.804,0,Automotive,High
35:53.2,0.0003,0.0434,-0.8534,-0.0028,-0.0044,-0.0171,0.0132,-0.0631,-0.3509,,,0,296.804,0,Automotive,High
35:53.3,0.066,0.0414,-0.9343,0.009,0.0051,-0.0852,0.0137,-0.0623,-0.3534,,,0,296.804,0,Automotive,High
35:53.4,-0.016,0.0529,-0.9569,0.0062,0.0182,-0.0064,0.0174,-0.061,-0.3551,,,0,296.804,0,Automotive,Low
35:53.5,-0.0118,0.0471,-0.9929,0.0061,0.032,-0.0139,0.0223,-0.0596,-0.3558,,,0,296.804,0,Automotive,Low
35:53.6,0.0185,0.0574,-1.0805,-0.0104,0.005,-0.0205,0.0238,-0.0583,-0.3567,,,0,296.804,0,Automotive,Low
35:53.7,0.006,0.0651,-1.0195,-0.0014,0.0819,-0.0057,0.0272,-0.0563,-0.3589,,,0,296.804,0,Automotive,High
35:53.8,0.0065,0.0576,-1.0924,-0.0033,0.0148,-0.0108,0.0315,-0.0535,-0.3586,,,0,296.804,0,Automotive,High
35:53.9,-0.0201,0.0351,-1.1106,0.0078,-0.0148,-0.003,0.0316,-0.0526,-0.3592,,,0,296.804,0,Automotive,High
35:54.0,0.0593,0.0416,-1.1094,0.0194,0.0024,-0.0114,0.0334,-0.0512,-0.3596,,,0,296.804,0,Automotive,High
35:54.1,-0.0266,0.0397,-1.2239,-0.0037,-0.0288,-0.0031,0.0335,-0.0519,-0.3599,,,0,296.804,0,Automotive,High
35:54.2,0.0647,0.0521,-1.0715,0.0079,0.0427,-0.0075,0.0337,-0.0515,-0.3601,,,0,296.804,0,Automotive,High
35:54.3,0.0188,0.0705,-1.0996,-0.0056,-0.0032,0.0191,0.0339,-0.0524,-0.358,,,0,296.804,0,Automotive,High
35:54.4,0.0257,0.0435,-1.0647,-0.0335,-0.0293,-0.0101,0.034,-0.0527,-0.3565,,,0,296.804,0,Automotive,High
35:54.5,0.0379,0.0608,-1.014,-0.0209,-0.0195,-0.0056,0.0319,-0.0525,-0.3583,,,0,296.804,0,Automotive,High
35:54.6,0.0466,0.0537,-1.0043,-0.0219,-0.0174,-0.011,0.0348,-0.0536,-0.3584,,,0,296.804,0,Automotive,High
35:54.7,0.0335,0.0458,-0.9738,0.0241,-0.0251,-0.0059,0.0339,-0.0571,-0.3593,,,0,296.804,0,Automotive,High
35:54.8,0.0004,0.0703,-0.9863,-0.0301,-0.0325,-0.0164,0.0326,-0.0583,-0.36,,,0,296.804,0,Automotive,High
35:54.9,0.0242,0.0588,-0.9725,0.0221,-0.0284,-0.0102,0.0304,-0.0585,-0.3625,,,0,296.804,0,Automotive,High
35:55.0,-0.0048,0.0647,-0.9153,-0.0106,0.0093,-0.0162,0.0279,-0.059,-0.3632,,,0,296.804,0,Automotive,High
35:55.1,-0.0071,0.048,-1.0206,0.0057,-0.0138,-0.0052,0.0244,-0.0582,-0.365,,,0,296.804,0,Automotive,High
35:55.2,0.0173,0.0703,-0.8222,-0.0045,0.0254,-0.013,0.0264,-0.0587,-0.3651,,,0,296.804,0,Automotive,High
35:55.3,-0.0094,0.0723,-0.9064,-0.0102,-0.0193,-0.0054,0.0283,-0.0579,-0.3636,,,0,296.804,0,Automotive,High
35:55.4,0.0067,0.0455,-0.9904,0.0129,0.0055,-0.0094,0.0285,-0.0571,-0.3639,,,0,296.804,0,Automotive,High
35:55.5,0.0021,0.0453,-1.0151,-0.0162,0.0104,-0.0003,0.0275,-0.0546,-0.3648,,,0,296.804,0,Automotive,High
35:55.6,0.0316,0.0531,-1.0639,-0.0125,-0.0119,-0.0076,0.0261,-0.0519,-0.3659,,,0,296.804,0,Automotive,High
35:55.7,0.0538,0.0487,-1.0849,-0.0042,-0.0022,-0.0043,0.026,-0.0508,-0.3661,,,0,296.804,0,Automotive,High
35:55.8,0.0573,0.0389,-1.0511,-0.032,0.0005,-0.0059,0.0286,-0.0494,-0.3657,,,0,296.804,0,Automotive,High
35:55.9,0.0584,0.0316,-1.1438,0.0186,-0.0178,-0.006,0.0289,-0.0495,-0.3657,,,0,296.804,0,Automotive,High
35:56.0,0.0246,0.0596,-1.0979,-0.0072,-0.0044,-0.0086,0.0275,-0.0501,-0.3658,,,0,296.804,0,Automotive,High
35:56.1,0.0056,0.0556,-1.02,-0.0327,-0.0176,-0.0058,0.0218,-0.0522,-0.3678,,,0,296.804,0,Automotive,High
35:56.2,0.0232,0.061,-0.8794,-0.05,0.0491,-0.0053,0.0215,-0.0539,-0.3681,,,0,296.804,0,Automotive,High
35:56.3,0.042,0.0494,-1.0022,-0.0099,0.0232,-0.0067,0.0247,-0.0531,-0.368,,,0,296.804,0,Automotive,High
35:56.4,-0.0059,0.0586,-0.9248,0.0174,0.0728,0.0299,0.0279,-0.0547,-0.3681,,,0,296.804,0,Automotive,High
35:56.5,-0.012,0.0891,-0.9007,-0.0392,-0.0177,-0.0038,0.0307,-0.0578,-0.3659,,,0,296.804,0,Automotive,High
35:56.6,0.0826,0.0585,-0.9373,-0.0162,0.0178,-0.01,0.0347,-0.0609,-0.3685,,,0,296.804,0,Automotive,High
35:56.7,0.0553,0.0687,-0.9994,0.0073,0.1225,0.0017,0.0442,-0.0615,-0.3648,,,0,296.804,0,Automotive,High
35:56.8,0.0777,0.0822,-0.93,-0.0196,-0.0206,-0.0184,0.0422,-0.0616,-0.3648,,,0,296.804,0,Automotive,High
35:56.9,0.0121,0.0647,-0.893,-0.0239,0.0026,-0.0388,0.0353,-0.0623,-0.3673,,,0,296.804,0,Automotive,High
35:57.0,-0.0198,0.0652,-0.9583,-0.0299,0.059,-0.005,0.0336,-0.0623,-0.3709,,,0,296.804,0,Automotive,High
35:57.1,0.0014,0.0739,-0.8633,-0.0179,0.0356,0.1809,0.0336,-0.0633,-0.3714,,,0,296.804,0,Automotive,High
35:57.2,0.0011,0.0521,-0.9178,0.0008,-0.033,-0.0095,0.0386,-0.0631,-0.3657,,,0,296.804,0,Automotive,High
