Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
06:58.6,0.0953,0.0384,-1.0882,-0.0038,-0.0597,-0.0233,0.0865,-0.0355,0.0003,,,0,0,0,Unknown,Low
06:58.7,0.076,0.0369,-0.9927,-0.0084,-0.0661,-0.0031,0.0842,-0.0363,-2.5568,,,0,64.5906,0,Automotive,High
06:58.8,0.0429,0.0158,-0.9541,-0.0196,-0.0492,0.0116,0.0806,-0.0312,-2.5544,,,0,64.5906,0,Automotive,High
06:58.9,0.0657,0.0261,-0.9172,-0.0158,0.0092,-0.0195,0.0707,-0.0282,-2.5538,,,0,64.5906,0,Automotive,High
06:59.0,0.0433,0.014,-0.9715,-0.0165,-0.0163,-0.0141,0.0718,-0.0291,-2.5544,,,0,64.5906,0,Automotive,High
06:59.1,0.0553,0.0276,-0.9228,-0.0193,0.0166,-0.0111,0.0714,-0.0299,-2.5547,,,0,64.5906,0,Automotive,High
06:59.2,0.0955,0.008,-0.9792,-0.0062,0.0115,-0.0204,0.0723,-0.0308,-2.5549,,,0,64.5906,0,Automotive,High
06:59.3,0.0826,0.0343,-0.9513,-0.0129,-0.0465,0.1067,0.0778,-0.0317,-2.5557,,,0,64.5906,0,Automotive,High
06:59.4,0.08,0.0071,-0.9085,-0.0064,0.0105,-0.0108,0.0816,-0.0312,-2.5556,,,0,64.5906,0,Automotive,High
06:59.5,0.1202,0.0237,-0.9947,0.0015,0.0084,-0.0331,0.0844,-0.0308,-2.5568,,,0,64.5906,0,Automotive,High
06:59.6,0.0475,0.0233,-0.9863,-0.0022,0.0034,0.0586,0.0825,-0.0304,-2.5519,,,0,64.5906,0,Automotive,High
06:59.7,0.1111,-0.0096,-0.9486,-0.0019,-0.0088,-0.0619,0.0801,-0.0296,-2.5517,,,0,64.5906,0,Automotive,High
06:59.8,0.0749,0.0363,-1.0098,-0.0066,-0.0448,-0.0042,0.0813,-0.0303,-2.5552,,,0,64.5906,0,Automotive,High
06:59.9,0.0717,0.0198,-1.02,0.0057,-0.0074,-0.0095,0.0777,-0.0276,-2.5522,,,0,64.5906,0,Automotive,High
07:00.0,0.1143,0.0374,-1.0691,0.0054,-0.0036,-0.1141,0.0764,-0.0246,-2.5535,,,0,64.5906,0,Automotive,High
07:00.1,0.0775,0.0271,-0.9999,-0.0091,-0.0328,0.0619,0.0814,-0.0254,-2.5611,,,0,64.5906,0,Automotive,High
07:00.2,0.0787,-0.0112,-1.0031,0.0035,0.0032,-0.017,0.0819,-0.0255,-2.557,,,0,64.5906,0,Automotive,High
07:00.3,0.1166,0.0307,-1.0041,-0.0001,0.0244,-0.0204,0.0796,-0.0252,-2.5537,,,0,64.5906,0,Automotive,High
07:00.4,0.0664,0.007,-0.9861,-0.0029,-0.0496,0.0908,0.0805,-0.0219,-2.5513,,,0,64.5906,0,Automotive,High
07:00.5,0.1008,0.0262,-1.0204,-0.0011,0.0283,-0.0834,0.0803,-0.0232,-2.554,,,0,64.5906,0,Automotive,High
07:00.6,0.1125,0.0388,-1.0674,-0.0021,-0.067,0.0077,0.0853,-0.0228,-2.557,,,0,64.5906,0,Automotive,High
07:00.7,0.0682,0.0286,-0.9742,-0.0065,-0.0022,0.0063,0.0833,-0.0241,-2.5539,,,0,64.5906,0,Automotive,High
07:00.8,0.1052,0.0092,-0.9744,-0.018,0.0335,-0.0421,0.0872,-0.0233,-2.5531,,,0,64.5906,0,Automotive,High
07:00.9,0.067,0.0147,-0.9988,-0.0049,0.0011,0.033,0.0902,-0.0242,-2.5552,,,0,64.5906,0,Automotive,High
07:01.0,0.0654,0.0221,-0.9865,-0.0122,0.0348,-0.01,0.0892,-0.0245,-2.5507,,,0,64.5906,0,Automotive,High
07:01.1,0.1112,0.0342,-1.0076,-0.0033,0.0201,-0.0129,0.0907,-0.0239,-2.5507,,,0,64.5906,0,Automotive,High
07:01.2,0.0848,0.0303,-1.0291,-0.0096,0.0094,-0.0087,0.0919,-0.0251,-2.5521,,,0,64.5906,0,Automotive,High
07:01.3,0.0759,0.0523,-1.0296,-0.0009,-0.0075,-0.0043,0.093,-0.0259,-2.5519,,,0,64.5906,0,Automotive,High
07:01.4,0.1036,0.029,-1.0119,0.0014,-0.012,-0.065,0.0932,-0.0264,-2.5527,,,0,64.5906,0,Automotive,High
07:01.5,0.0676,0.047,-0.9953,-0.0082,0.0024,0.0927,0.0946,-0.0259,-2.5541,,,0,64.5906,0,Automotive,High
07:01.6,0.0809,0.0344,-0.9638,-0.0004,0.0242,-0.0577,0.0922,-0.0255,-2.5482,,,0,64.5906,0,Automotive,High
07:01.7,0.0855,0.0329,-0.9481,-0.0209,0.0368,-0.0058,0.0909,-0.0254,-2.5524,,,0,64.5906,0,Automotive,High
07:01.8,0.0775,0.0122,-1.012,-0.0172,-0.0355,-0.0183,0.0937,-0.0263,-2.5503,,,0,64.5906,0,Automotive,High
07:01.9,0.1053,0.0127,-0.9591,-0.0176,-0.0142,-0.0162,0.0899,-0.026,-2.55,,,0,64.5906,0,Automotive,High
07:02.0,0.1181,0.0462,-0.9451,-0.0251,-0.0792,-0.0076,0.0907,-0.0259,-2.5522,,,0,64.5906,0,Automotive,High
07:02.1,0.0747,0.0223,-0.9763,-0.0253,-0.0185,-0.0025,0.0888,-0.0272,-2.5526,,,0,64.5906,0,Automotive,High
